Course Code,Course Title,Day and Time,Instructor,Session,Cr Hrs
LAW 101 LEC 3,Introduction to Legal Reasoning,TR 4:00PM-5:50PM,TBA,16W,4.0
LAW 101 LEC 4,Introduction to Legal Reasoning,TR 11:00AM-12:50PM,Faiza .,16W,4.0
LAW 210 LEC 1,Concept of Law,MW 11:00AM-12:50PM,Sarah Humayun,16W,4.0
LAW 210 LEC 2,Concept of Law,TR 10:00AM-11:50AM,Asad Farooq,16W,4.0
LAW 223 LEC 1,Commercial Law,TR 1:00PM-2:50PM,Faiza .,16W,4.0
LAW 224 LEC 1,Property Law,MW 4:00PM-5:50PM,Asad Farooq,16W,4.0
LAW 225 LEC 1,Islamic Legal Theory,TR 3:30PM-5:20PM,TBA,16W,4.0
LAW 232 LEC 1,Public Law,MW 2:00PM-3:50PM,Adnan Sattar,16W,4.0
LAW 320 LEC 1,"Equity, Specific Relief and Trusts",TR 4:00PM-5:50PM,TBA,16W,4.0
LAW 320 LEC 2,"Equity, Specific Relief and Trusts",TR 4:00PM-5:50PM,Tariq Qazi,16W,4.0
LAW 3204 LEC 1,"International Labor Law - A
Decolonial/Post Colonial Perspective",TR 8:00AM-9:50AM,Muhammad Azeem,16W,4.0
POL 354 LEC 1,"International Labor Law - A
Decolonial/Post Colonial Perspective",TR 8:00AM-9:50AM,Muhammad Azeem,16W,4.0
LAW 3205 LEC 1,International Business Transactions,MW 2:00PM-3:50PM,Syeda Zehra Zaidi,16W,4.0
LAW 3211 LEC 1,"The Corporation, Law, and Society",MW 1:00PM-2:50PM,"Sheharyar Sikander
Hamid",16W,4.0
LAW 323 LEC 1,Tax Law,MW 4:00PM-5:50PM,Akhtar Ali,16W,4.0
LAW 326 LEC 1,Intellectual Property Law,TR 10:00AM-11:50AM,"Maria Farrukh Irfan
Khan",16W,4.0
LAW 3504 LEC 1,Gender Justice and Law,TR 2:00PM-3:50PM,TBA,16W,4.0
GSS 342 LEC 1,Gender Justice and Law,TR 2:00PM-3:50PM,TBA,16W,4.0
LAW 3611 LEC 1,Family Law,MW 12:00PM-1:50PM,Maria Farooq,16W,4.0
LAW 3912 LEC 1,"Climate Change and Environment
Policy",MW 4:30PM-6:20PM,Fahad Malik,16W,4.0
ENV 333 LEC 1,"Climate Change and Environment
Policy",MW 4:30PM-6:20PM,Fahad Malik,16W,4.0
LAW 4103 SEM 1,Martial Law,W 10:00AM-11:50AM,Sadaf Aziz,16W,2.0
LAW 4506 LEC 1,"Leading Cases in Public International
Law",MW 10:00AM-11:50AM,Sikandar Ahmed Shah,16W,4.0
LAW 4507 LEC 1,Refugee Law and Migration,TR 11:00AM-12:50PM,Madiha Talat,16W,4.0
POL 452 LEC 1,Refugee Law and Migration,TR 11:00AM-12:50PM,Madiha Talat,16W,4.0
LAW 4513 LEC 1,"Constitutionalization of Gender in
Pakistan",TR 10:00AM-11:50AM,Marva Khan,16W,4.0
GSS 442 LEC 1,"Constitutionalization of Gender in
Pakistan",TR 10:00AM-11:50AM,Marva Khan,16W,4.0
LAW 470 LEC 1,Evidence,TR 10:00AM-11:50AM,Muhammad Azeem,16W,4.0
LAW 472 LEC 1,Criminal Procedure,MW 4:00PM-5:50PM,Hammad Saeed,16W,4.0
LAW 4905 LEC 1,"Law, Social Change, and Resistance",MW 2:00PM-3:50PM,Muhammad Umar Ali,16W,4.0
LAW 4906 LEC 1,LUMS Law Clinic,MW 10:00AM-11:50AM,TBA,16W,4.0
LAW 4924 LEC 1,Prison Paralegal Clinic,TR 8:00AM-9:50AM,Angbeen Atif Mirza,16W,4.0
MATH 100 LEC 1,Pre-Calculus,MW 9:30AM-10:45AM,TBA,16W,3.0
MATH 101 LEC 1,Calculus I,MW 5:00PM-6:15PM,Adnan Khan,16W,3.0
MATH 101 LEC 2,Calculus I,TR 4:00PM-5:15PM,Muhammad Saqib,16W,3.0
MATH 102 LEC 1,Calculus II,TR 10:00AM-11:15AM,Shehryar Sikander,16W,3.0
MATH 120 LEC 1,"Linear Algebra with Differential
Equations",MW 9:30AM-10:45AM,Aftab Ali,16W,3.0
MATH 120 LEC 2,"Linear Algebra with Differential
Equations",TR 4:00PM-5:15PM,Imran Naeem,16W,3.0
MATH 120 LEC 3,"Linear Algebra with Differential
Equations",TR 1:00PM-2:15PM,Aftab Ali,16W,3.0
MATH 120 LEC 4,"Linear Algebra with Differential
Equations",TR 5:00PM-6:15PM,Ameer Hamza,16W,3.0
MATH 120H LEC 1,Linear Algebra I (Honours),TR 1:00PM-2:15PM,Imran Anwar,16W,3.0
MATH 205 LEC 1,Introduction to Analysis I,TR 1:00PM-2:15PM,Shaheen Nazir,16W,3.0
MATH 230 LEC 1,Probability,TR 3:30PM-4:45PM,Reza Abdolmaleki,16W,3.0
MATH 230 LEC 2,Probability,TR 8:00AM-9:15AM,Reza Abdolmaleki,16W,3.0
MATH 230 LEC 3,Probability,MW 9:00AM-10:15AM,Ijaz Haider Naqvi,16W,3.0
